排名,名称,评分,上映时间,主演
1,霸王别姬,9.6,1993-01-01(中国香港),"张国荣,张丰毅,巩俐        "
2,肖申克的救赎,9.5,1994-10-14(美国),"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿        "
3,罗马假日,9.1,1953-09-02(美国),"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特        "
4,这个杀手不太冷,9.5,1994-09-14(法国),"让·雷诺,加里·奥德曼,娜塔莉·波特曼        "
5,教父,9.3,1972-03-24(美国),"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩        "
6,泰坦尼克号,9.5,1998-04-03,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩        "
7,龙猫,9.2,1988-04-16(日本),"日高法子,坂本千夏,糸井重里        "
8,唐伯虎点秋香,9.2,1993-07-01(中国香港),"周星驰,巩俐,郑佩佩        "
9,千与千寻,9.3,2001-07-20(日本),"柊瑠美,入野自由,夏木真理        "
10,魂断蓝桥,9.2,1940-05-17(美国),"费雯·丽,罗伯特·泰勒,露塞尔·沃特森        "
11,乱世佳人,9.1,1939-12-15(美国),"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰        "
12,喜剧之王,9.2,1999-02-13(中国香港),"周星驰,莫文蔚,张柏芝        "
13,天空之城,9.1,1992,"寺田农,鹫尾真知子,龟山助清        "
14,大闹天宫,9.0,1965-12-31,"邱岳峰,毕克,富润生        "
15,辛德勒的名单,9.2,1993-12-15(美国),"连姆·尼森,拉尔夫·费因斯,本·金斯利        "
16,音乐之声,9.0,1965-03-02(美国),"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克        "
17,春光乍泄,9.2,1997-05-30(中国香港),"张国荣,梁朝伟,张震        "
18,剪刀手爱德华,8.8,1990-12-06(美国),"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特        "
19,美丽人生,9.3,1997-12-20(意大利),"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼        "
20,海上钢琴师,9.2,1998-10-28(意大利),"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩        "
21,黑客帝国,9.0,2000-01-14,"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩        "
22,指环王3：王者无敌,9.2,2004-03-15,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒        "
23,加勒比海盗,8.9,2003-11-21,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆        "
24,哈利·波特与魔法石,9.1,2002-01-26,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森        "
25,蝙蝠侠：黑暗骑士,9.3,2008-07-18(美国),"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特        "
26,楚门的世界,8.9,1998-06-01(美国),"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇        "
27,射雕英雄传之东成西就,8.9,1993-02-05(中国香港),"张国荣,梁朝伟,张学友        "
28,无间道,9.1,2003-09-05,"刘德华,梁朝伟,黄秋生        "
29,教父2,9.0,1974-12-12(美国),"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿        "
30,指环王2：双塔奇兵,9.1,2003-04-25,"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒        "
31,机器人总动员,9.3,2008-06-27(美国),"本·贝尔特,艾丽莎·奈特,杰夫·格尔林        "
32,活着,9.0,1994-05-18(法国),"葛优,巩俐,牛犇        "
33,拯救大兵瑞恩,8.9,1998-07-24(美国),"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔        "
34,天堂电影院,9.2,1988-11-17(意大利),"菲利普·努瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托        "
35,哈尔的移动城堡,9.0,2004-11-20(日本),"倍赏千惠子,木村拓哉,美轮明宏        "
36,忠犬八公的故事,9.3,2010-03-12(英国),"Forest,理查·基尔,琼·艾伦        "
37,东邪西毒,8.9,1994-09-17,"张国荣,梁朝伟,刘嘉玲        "
38,幽灵公主,8.9,1997-07-12(日本),"松田洋治,石田百合子,田中裕子        "
39,盗梦空间,9.2,2010-09-01,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特        "
40,搏击俱乐部,8.8,1999-10-15(美国),"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特        "
41,疯狂原始人,9.5,2013-04-20,"尼古拉斯·凯奇,艾玛·斯通,瑞恩·雷诺兹        "
42,阿凡达,9.0,2010-01-04,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹        "
43,V字仇杀队,8.8,2006-03-17(美国),"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞        "
44,风之谷,8.9,1992,"岛本须美,永井一郎,坂本千夏        "
45,放牛班的春天,8.9,2004-10-16,"热拉尔·朱尼奥,尚-巴堤·莫里耶,玛丽·布奈尔        "
46,当幸福来敲门,8.9,2008-01-17,"威尔·史密斯,贾登·史密斯,坦迪·牛顿        "
47,十二怒汉,9.1,1957-04-13(美国),"亨利·方达,李·科布,马丁·鲍尔萨姆        "
48,速度与激情5,9.2,2011-05-12,"范·迪塞尔,保罗·沃克,道恩·强森        "
49,驯龙高手,9.0,2010-05-14,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉        "
50,勇敢的心,8.8,1995-05-24(美国),"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉        "
51,神偷奶爸,9.0,2010-07-09(美国),"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德        "
52,飞屋环游记,8.9,2009-08-04,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森        "
53,黑客帝国3：矩阵革命,8.8,2003-11-05,"基努·里维斯,雨果·维文,凯瑞-安·莫斯        "
54,怦然心动,8.9,2010-08-06(美国),"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因        "
55,三傻大闹宝莱坞,9.1,2011-12-08,"阿米尔·汗,黄渤,卡琳娜·卡普尔        "
56,断背山,9.0,2006-01-13(美国),"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯        "
57,闻香识女人,8.8,1992-12-23(美国),"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔        "
58,鬼子来了,8.9,2000-05-12(法国戛纳),"姜文,姜宏波,陈强        "
59,飞越疯人院,8.8,1975-11-19(美国),"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森        "
60,美国往事,9.1,1984-02-17(美国),"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文        "
61,致命魔术,8.8,2006-10-20(美国),"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩        "
62,少年派的奇幻漂流,9.1,2012-11-22,"苏拉·沙玛,伊尔凡·可汗,塔布        "
63,美丽心灵,8.8,2001-12-21(美国),"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯        "
64,哈利·波特与死亡圣器（下）,9.0,2011-08-04,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森        "
65,夜访吸血鬼,8.8,1994-11-11(美国),"汤姆·克鲁斯,布拉德·皮特,克斯汀·邓斯特        "
66,大话西游之月光宝盒,9.6,2014-10-24,"周星驰,莫文蔚,吴孟达        "
67,蝙蝠侠：黑暗骑士崛起,8.9,2012-08-27,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼        "
68,钢琴家,8.8,2002-09-25(法国),"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基        "
69,无敌破坏王,9.0,2012-11-06,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇        "
70,倩女幽魂,9.1,2011-04-30,"张国荣,王祖贤,午马        "
71,本杰明·巴顿奇事,8.8,2008-12-25(美国),"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森        "
72,初恋这件小事,8.8,2012-06-05,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考        "
73,新龙门客栈,8.8,2012-02-24,"张曼玉,梁家辉,甄子丹        "
74,甜蜜蜜,9.2,2015-02-13,"黎明,张曼玉,曾志伟        "
75,触不可及,9.1,2011-11-02(法国),"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼        "
76,熔炉,8.8,2011-09-22(韩国),"孔刘,郑有美,金智英        "
77,大话西游之大圣娶亲,8.8,2014-10-24,"周星驰,朱茵,莫文蔚        "
78,小鞋子,9.1,1999-01-22(美国),"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi        "
79,素媛,9.1,2013-10-02(韩国),"李来,薛耿求,严志媛        "
80,萤火之森,9.0,2011-09-17(日本),"内山昂辉,佐仓绫音,Hiroki Goto"
81,窃听风暴,9.0,2006-03-23(德国),"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克        "
82,穿条纹睡衣的男孩,9.0,2008-09-12(英国),"阿萨·巴特菲尔德,维拉·法米加,大卫·休里斯        "
83,时空恋旅人,8.9,2013-09-04(英国),"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊        "
84,借东西的小人阿莉埃蒂,8.8,2010-07-17(日本),"志田未来,神木隆之介,大竹忍        "
85,恐怖直播,8.8,2013-07-31(韩国),"乌尔里希·穆埃,赛巴斯汀·柯赫,马蒂娜·戈黛特"
86,7号房的礼物,8.9,2013-01-23(韩国),"柳承龙,郑镇荣,朴信惠        "
87,海豚湾,8.9,2009-07-31(美国),"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯        "
88,忠犬八公物语,9.0,1987-08-01(日本),"仲代达矢,春川真澄,井川比佐志        "
89,上帝之城,8.9,2002-08-30(巴西),"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺        "
90,辩护人,8.8,2013-12-18(韩国),"宋康昊,郭度沅,吴达洙        "
91,七武士,9.1,1954-04-26(日本),"三船敏郎,志村乔,千秋实        "
92,一一,8.9,2000-09-20(法国),"吴念真,金燕玲,李凯莉        "
93,完美的世界,8.9,1993-11-24(美国),"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟        "
94,海洋,9.0,2011-08-12,"雅克·贝汉,姜文,兰斯洛特·贝汉        "
95,爱·回家,9.0,2002-04-05(韩国),"俞承豪,金艺芬,童孝熙        "
96,黄金三镖客,8.9,1966-12-23(意大利),"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫        "
97,我爱你,9.0,2011-02-17(韩国),"宋在浩,李顺才,尹秀晶        "
98,迁徙的鸟,9.1,2001-12-12(法国),"雅克·贝汉,Philippe Labro        "
99,阿飞正传,8.8,2018-06-25,"张国荣,张曼玉,刘德华        "
100,英雄本色,9.2,2017-11-17,"狄龙,张国荣,周润发        "
